Time,Icc,Pm,Vwind,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.001,-2.69296e-006,0,100.8,0,18,2.42198,0.00573375,15,28,0,0,0,0
0.002,-2.70006e-006,0.452545,100.8,-3.80378e-009,18,23.4053,0.0554094,15,28,2.03093,5430.31,568.661,0.000795808
0.003,-2.69296e-006,1.68199,100.8,-1.51482e-008,18,23.438,0.0554868,15,28,2.03226,5433.88,569.035,0.00295586
0.004,-2.69296e-006,1.68424,100.8,-3.39e-008,18,23.505,0.0556453,15,28,2.03499,5441.18,569.799,0.00295586
0.005,-2.69296e-006,1.6865,100.8,-5.9927e-008,18,23.5722,0.0558045,15,28,2.03773,5448.48,570.564,0.00295586
0.006,-2.69296e-006,1.68877,100.8,-9.30983e-008,18,23.6397,0.0559642,15,28,2.04046,5455.8,571.33,0.00295586
0.007,-2.69296e-006,1.69104,100.8,-1.33284e-007,18,23.7074,0.0561246,15,28,2.0432,5463.12,572.097,0.00295586
0.008,-2.69296e-006,1.69331,100.8,-1.80356e-007,18,23.7755,0.0562857,15,28,2.04595,5470.46,572.865,0.00295586
0.009,-2.69296e-006,1.69558,100.8,-2.34186e-007,18,23.8438,0.0564475,15,28,2.0487,5477.81,573.635,0.00295586
0.01,-2.69296e-006,1.69786,100.8,-2.94648e-007,18,23.9124,0.0566099,15,28,2.05145,5485.17,574.406,0.00295586
0.011,-2.70006e-006,1.70014,100.8,-3.61618e-007,18,23.9813,0.056773,15,28,2.0542,5492.54,575.178,0.00295586
0.012,-2.70006e-006,1.76791,100.8,-4.3497e-007,18,24.0505,0.0569368,15,28,2.05697,5499.93,575.951,0.00306954
0.013,-2.68585e-006,1.70472,100.8,-5.14583e-007,18,24.12,0.0571013,15,28,2.05973,5507.32,576.725,0.00295586
0.014,-2.69296e-006,1.77266,100.8,-6.00335e-007,18,24.1897,0.0572664,15,28,2.0625,5514.73,577.501,0.00306954
0.015,-2.70006e-006,1.70931,100.8,-6.92104e-007,18,24.2598,0.0574323,15,28,2.06528,5522.14,578.278,0.00295586
0.016,-2.70006e-006,1.71161,100.8,-7.89773e-007,18,24.3301,0.0575988,15,28,2.06805,5529.57,579.056,0.00295586
0.017,-2.69296e-006,1.77983,100.8,-8.93222e-007,18,24.4008,0.057766,15,28,2.07084,5537.01,579.835,0.00306954
0.018,-2.68585e-006,1.78222,100.8,-1.00233e-006,18,24.4717,0.0579339,15,28,2.07362,5544.47,580.615,0.00306954
0.019,-2.69296e-006,1.78462,100.8,-1.117e-006,18,24.5429,0.0581026,15,28,2.07642,5551.93,581.397,0.00306954
0.02,-2.68585e-006,1.78703,100.8,-1.23709e-006,18,24.6145,0.0582719,15,28,2.07921,5559.41,582.18,0.00306954
0.021,-2.69296e-006,1.78943,100.8,-1.3625e-006,18,24.6863,0.058442,15,28,2.08201,5566.89,582.964,0.00306954
0.022,-2.69296e-006,1.79184,100.8,-1.49312e-006,18,24.7584,0.0586128,15,28,2.08482,5574.39,583.749,0.00306954
0.023,-2.69296e-006,1.79426,100.8,-1.62884e-006,18,24.8309,0.0587843,15,28,2.08762,5581.9,584.535,0.00306954
0.024,-2.69296e-006,1.79668,100.8,-1.76954e-006,18,24.9036,0.0589565,15,28,2.09044,5589.42,585.323,0.00306954
0.025,-2.69296e-006,1.7991,100.8,-1.91512e-006,18,24.9767,0.0591295,15,28,2.09326,5596.96,586.112,0.00306954
0.026,-2.69296e-006,1.7348,100.8,-2.06547e-006,18,25.0501,0.0593031,15,28,2.09608,5604.51,586.902,0.00295586
0.027,-2.69296e-006,1.80395,100.8,-2.22048e-006,18,25.1237,0.0594776,15,28,2.09891,5612.06,587.694,0.00306954
0.028,-2.69296e-006,1.80639,100.8,-2.38005e-006,18,25.1977,0.0596528,15,28,2.10174,5619.63,588.487,0.00306954
0.029,-2.69296e-006,1.80882,100.8,-2.54407e-006,18,25.272,0.0598287,15,28,2.10457,5627.22,589.281,0.00306954
0.03,-2.69296e-006,1.81127,100.8,-2.71244e-006,18,25.3467,0.0600053,15,28,2.10741,5634.81,590.076,0.00306954
0.031,-2.69296e-006,1.81371,100.8,-2.88506e-006,18,25.4216,0.0601828,15,28,2.11026,5642.42,590.873,0.00306954
0.032,-2.69296e-006,1.81616,100.8,-3.06182e-006,18,25.4969,0.060361,15,28,2.11311,5650.04,591.671,0.00306954
0.033,-2.70006e-006,1.81861,100.8,-3.24262e-006,18,25.5725,0.0605399,15,28,2.11596,5657.67,592.47,0.00306954
0.034,-2.70006e-006,1.82107,100.8,-3.42738e-006,18,25.6484,0.0607196,15,28,2.11882,5665.31,593.27,0.00306954
0.035,-2.69296e-006,1.82353,100.8,-3.61598e-006,18,25.7246,0.0609001,15,28,2.12168,5672.97,594.072,0.00306954
0.036,-2.69296e-006,1.826,100.8,-3.80834e-006,18,25.8012,0.0610814,15,28,2.12455,5680.64,594.875,0.00306954
0.037,-2.69296e-006,1.82846,100.8,-4.00435e-006,18,25.8781,0.0612635,15,28,2.12742,5688.32,595.679,0.00306954
0.038,-2.69296e-006,1.83094,100.8,-4.20393e-006,18,25.9553,0.0614463,15,28,2.1303,5696.01,596.485,0.00306954
0.039,-2.69296e-006,1.83341,100.8,-4.40697e-006,18,26.0329,0.06163,15,28,2.13318,5703.72,597.292,0.00306954
0.04,-2.69296e-006,1.8359,100.8,-4.61339e-006,18,26.1108,0.0618144,15,28,2.13607,5711.44,598.1,0.00306954
0.041,-2.70006e-006,1.83838,100.8,-4.8231e-006,18,26.1891,0.0619996,15,28,2.13896,5719.17,598.91,0.00306954
0.042,-2.69296e-006,1.90905,100.8,-5.036e-006,18,26.2677,0.0621857,15,28,2.14186,5726.91,599.721,0.00318323
0.043,-2.69296e-006,1.91164,100.8,-5.25201e-006,18,26.3466,0.0623725,15,28,2.14476,5734.67,600.533,0.00318323
0.044,-2.69296e-006,1.84586,100.8,-5.47104e-006,18,26.4259,0.0625602,15,28,2.14767,5742.44,601.347,0.00306954
0.045,-2.69296e-006,1.91682,100.8,-5.693e-006,18,26.5055,0.0627487,15,28,2.15058,5750.22,602.162,0.00318323
0.046,-2.70006e-006,1.85087,100.8,-5.9178e-006,18,26.5854,0.062938,15,28,2.15349,5758.02,602.978,0.00306954
0.047,-2.68585e-006,1.92202,100.8,-6.14537e-006,18,26.6658,0.0631281,15,28,2.15641,5765.83,603.796,0.00318323
0.048,-2.69296e-006,1.92463,100.8,-6.37561e-006,18,26.7464,0.0633191,15,28,2.15934,5773.65,604.615,0.00318323
0.049,-2.70006e-006,1.92724,100.8,-6.60845e-006,18,26.8275,0.0635109,15,28,2.16227,5781.48,605.435,0.00318323
0.05,-2.70006e-006,1.86093,100.8,-6.8438e-006,18,26.9088,0.0637036,15,28,2.1652,5789.33,606.257,0.00306954
0.051,-2.70006e-006,1.93248,100.8,-7.08158e-006,18,26.9906,0.0638971,15,28,2.16814,5797.19,607.08,0.00318323
0.052,-2.69296e-006,1.9351,100.8,-7.32172e-006,18,27.0727,0.0640915,15,28,2.17109,5805.06,607.905,0.00318323
0.053,-2.68585e-006,1.93773,100.8,-7.56413e-006,18,27.1551,0.0642867,15,28,2.17404,5812.95,608.731,0.00318323
0.054,-2.69296e-006,1.94037,100.8,-7.80873e-006,18,27.238,0.0644828,15,28,2.17699,5820.85,609.558,0.00318323
0.055,-2.69296e-006,2.0124,100.8,-8.05546e-006,18,27.3212,0.0646797,15,28,2.17995,5828.77,610.387,0.00329692
0.056,-2.69296e-006,1.94565,100.8,-8.30422e-006,18,27.4047,0.0648776,15,28,2.18292,5836.69,611.217,0.00318323
