Time,Icc,error,Pm,Vwind,lambda_REF,lambda,D,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.001,-3.22942e-006,4.5,0,75,4.5,0,0.1,0,21.6,0.997636,0.00573375,15,20.8334,0,0,0,0
0.002,-3.23652e-006,2.34508,0.452545,95,4.5,2.15492,0.1,-5.47144e-009,21.6,22.2882,0.0630311,15,26.3889,2.15492,5430.31,568.661,0.000795808
0.003,-3.23297e-006,2.34373,1.61724,95,4.5,2.15627,0.1,-2.17895e-008,21.6,22.3192,0.0631188,15,26.3889,2.15627,5433.7,569.016,0.00284217
0.004,-3.23297e-006,2.34098,1.61931,95,4.5,2.15902,0.1,-4.87684e-008,21.6,22.3828,0.0632986,15,26.3889,2.15902,5440.64,569.743,0.00284217
0.005,-3.22942e-006,2.33822,1.62137,95,4.5,2.16178,0.1,-8.62121e-008,21.6,22.4466,0.0634791,15,26.3889,2.16178,5447.59,570.471,0.00284217
0.006,-3.24007e-006,2.33546,1.62345,95,4.5,2.16454,0.1,-1.33926e-007,21.6,22.5107,0.0636603,15,26.3889,2.16454,5454.55,571.199,0.00284217
0.007,-3.23652e-006,2.33269,1.62552,95,4.5,2.16731,0.1,-1.91736e-007,21.6,22.575,0.0638422,15,26.3889,2.16731,5461.52,571.929,0.00284217
0.008,-3.23652e-006,2.32992,1.6276,95,4.5,2.17008,0.1,-2.59457e-007,21.6,22.6396,0.0640249,15,26.3889,2.17008,5468.51,572.661,0.00284217
0.009,-3.23297e-006,2.32714,1.69487,95,4.5,2.17286,0.1,-3.36899e-007,21.6,22.7045,0.0642084,15,26.3889,2.17286,5475.5,573.393,0.00295586
0.01,-3.22942e-006,2.32437,1.63177,95,4.5,2.17563,0.1,-4.23887e-007,21.6,22.7697,0.0643926,15,26.3889,2.17563,5482.5,574.126,0.00284217
