Time,I(L1),I(R1),Vo,Pout,Vind,CtrSignal,I_output,Port,PWM,Vcc,PG_Max,IL_REF,e_IL,Pin,IL,Pm,I_input,Vwind,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.075,1.13018,1.13241,11.3241,3.51381,0.0261389,0.339876,1.13241,9.4369e-010,1,11.3489,12.9033,1.13696,0.00688867,14.2563,1.13007,4.44314,1.25618,95,23.9534,0.0677403,15,26.3889,2.22494,5606.74,587.136,0.0305818
0.15,1.21528,1.18956,11.8956,8.81784,-0.168796,0.966992,1.18954,1.75948e-008,1,11.7285,14.2069,1.21131,-0.00466351,12.4449,1.21598,11.2403,1.06108,95,25.795,0.0729484,15,26.3889,2.29747,5789.53,606.278,0.0263753
0.225,1.24968,1.24781,12.4781,12.7604,-0.340855,1.02974,1.2478,3.42482e-008,1,12.1363,15.6062,1.2859,0.0348085,16.1627,1.2511,16.2549,1.33176,95,27.7762,0.0785512,15,26.3889,2.37055,5973.68,625.563,0.0325144
0.3,1.33177,1.30686,13.0686,15.1765,-0.504759,1.00735,1.30683,10,0,12.5631,17.113,1.36216,0.0282955,17.571,1.33386,19.2547,1.39862,95,29.9162,0.084603,15,26.3889,2.44451,6160.07,645.081,0.0341061
0.375,1.40593,1.36753,13.6753,16.7719,-0.65957,1.02963,1.36748,10,0,13.0168,18.7391,1.43961,0.0309456,16.9412,1.40867,21.1599,1.30148,95,32.2342,0.0911584,15,26.3889,2.51961,6349.32,664.899,0.0320597
0.45,1.53215,1.42958,14.2958,18.1672,-0.749568,0.9431,1.42947,10,0,13.545,20.4975,1.51329,-0.0219677,22.3997,1.53526,22.7814,1.65373,95,34.7512,0.0982763,15,26.3889,2.59608,6542,685.076,0.0400178
0.525,1.62509,1.49441,14.9441,19.6819,-1.03801,0.957273,1.49427,10,0,13.9053,22.4093,1.61157,-0.0178327,23.7492,1.6294,24.5365,1.70793,95,37.5,0.10605,15,26.3889,2.6744,6739.37,705.746,0.041382
0.6,1.69699,1.56282,15.6282,21.4162,-1.21212,0.97785,1.56268,10,0,14.419,24.4876,1.69829,-0.00372487,20.5241,1.70201,26.5573,1.4234,95,40.502,0.11454,15,26.3889,2.75465,6941.59,726.922,0.0352429
0.675,1.7881,1.63353,16.3353,23.3747,-1.41511,1.01961,1.63336,5.08749e-008,1,14.9181,26.758,1.79366,-0.000317012,29.6838,1.79398,28.8471,1.98979,95,43.7954,0.123854,15,26.3889,2.83728,7149.82,748.727,0.0478622
0.75,1.89292,1.70765,17.0765,25.5446,-1.71173,1.05013,1.70745,1.50813e-007,1,15.3629,29.2475,1.90377,0.00374879,31.8497,1.90002,31.3861,2.07316,95,47.4204,0.134105,15,26.3889,2.92267,7365.01,771.262,0.0499085
0.825,1.97255,1.7865,17.865,27.9268,15.92,1.11793,1.7863,2.50715e-007,1,15.9173,31.9865,2.00954,0.0289135,35.3482,1.98063,34.1699,2.22075,95,51.4196,0.145415,15,26.3889,3.0112,7588.09,794.623,0.0533191
0.9,2.09773,1.86944,18.6944,30.5407,16.3614,1.21167,1.8692,3.50653e-007,1,16.3615,35.0149,2.14007,0.0326553,33.9248,2.10742,37.2132,2.07345,95,55.8466,0.157934,15,26.3889,3.10338,7820.38,818.948,0.0502496
0.975,2.20658,1.95694,19.5694,33.4196,16.9217,1.37077,1.95667,4.50555e-007,1,16.9206,38.3621,2.26718,0.0496094,38.806,2.21757,40.5596,2.29341,95,60.7333,0.171754,15,26.3889,3.19928,8062.03,844.254,0.0554792
1.05,2.34975,2.04981,20.4981,36.5999,17.5029,1.44834,2.04949,5.28289e-007,1,17.5044,42.0729,2.40356,0.0413811,38.4767,2.36218,44.2534,2.19812,95,66.1247,0.187001,15,26.3889,3.29927,8314.02,870.642,0.0535465
1.125,2.49291,2.14755,21.4755,40.1211,18.2032,1.57548,2.14718,5.94902e-007,1,18.1994,46.1868,2.53782,0.0313174,51.612,2.5065,48.3338,2.83591,95,72.0427,0.203737,15,26.3889,3.40348,8576.62,898.142,0.067871
1.2,2.63727,2.25224,22.5224,44.0241,18.7091,1.67404,2.25183,6.61515e-007,1,18.7059,50.7507,2.71308,0.0599697,54.7641,2.65311,52.8527,2.92763,95,78.4959,0.221986,15,26.3889,3.51208,8850.29,926.8,0.0701448
1.275,2.80303,2.36043,23.6043,48.3482,19.3293,1.84446,2.35995,7.28129e-007,1,19.3278,55.7794,2.88597,0.065193,56.7469,2.82078,57.8472,2.93603,95,85.413,0.241548,15,26.3889,3.62445,9133.45,956.453,0.0705995
1.35,2.97391,2.47424,24.7424,53.1235,20.0084,1.95963,2.4737,7.94742e-007,1,20.0047,61.2698,3.06277,0.069205,66.2992,2.99357,63.3481,3.31419,95,92.6542,0.262026,15,26.3889,3.73967,9423.79,986.857,0.0792397
1.425,3.16332,2.59033,25.9033,58.3594,20.6697,2.0652,2.58971,8.61355e-007,1,20.6726,67.1724,3.24934,0.0643063,59.3975,3.18503,69.3561,2.87324,95,99.9697,0.282714,15,26.3889,3.8561,9717.19,1017.58,0.06969
1.5,3.35006,2.70704,27.0704,64.0227,21.3422,2.17646,2.70635,9.27969e-007,1,21.3466,73.3517,3.43623,0.062409,62.5535,3.37382,75.8236,2.93038,95,106.971,0.302514,15,26.3889,3.97089,10006.5,1047.87,0.0713953
1.575,3.52598,2.82057,28.2057,70.0324,21.8828,2.31504,2.81981,9.94582e-007,1,21.8836,79.592,3.63706,0.0848414,75.2445,3.55222,82.6649,3.43839,95,113.203,0.320137,15,26.3889,4.08044,10282.5,1076.78,0.082764
1.65,3.69461,2.92582,29.2582,76.2281,22.4336,2.43142,2.92499,1.0612e-006,1,22.4313,85.6067,3.81639,0.0934505,87.3889,3.72294,89.6708,3.89584,95,118.251,0.334415,15,26.3889,4.18074,10535.3,1103.25,0.0927685
1.725,3.85247,3.01911,30.1911,82.3673,22.9545,2.48499,3.01821,1.12777e-006,1,22.9576,91.0982,3.9681,0.0856048,81.4299,3.8825,96.5376,3.54697,95,121.901,0.344736,15,26.3889,4.26829,10755.9,1126.36,0.0852651
1.8,3.98644,3.09682,30.9682,88.1631,23.4984,2.53866,3.09586,1.19442e-006,1,23.4915,95.816,4.07876,0.061296,108.895,4.01746,102.955,4.63553,95,124.201,0.351242,15,26.3889,4.34074,10938.5,1145.47,0.109139
1.875,4.07749,3.1599,31.599,93.3416,23.6848,2.60163,3.15891,1.261e-006,1,23.6888,99.6514,4.20669,0.0963685,87.4977,4.11032,108.62,3.69363,95,125.44,0.354744,15,26.3889,4.3979,11082.5,1160.56,0.0884484
1.95,4.16367,3.2058,32.058,97.704,23.8761,2.66302,3.20477,1.32765e-006,1,23.878,102.591,4.29647,0.0988543,94.7407,4.19762,113.335,3.96769,95,125.973,0.356251,15,26.3889,4.44073,11190.4,1171.86,0.0945874
2.025,4.2191,3.23939,32.3939,101.169,24.1047,2.70534,3.23833,1.19442e-006,1,24.0986,104.739,4.34627,0.0927579,115.259,4.25352,117.043,4.78279,95,126.119,0.356665,15,26.3889,4.47151,11268,1179.98,0.11255
2.1,4.31401,3.26242,32.6242,103.772,24.1805,2.58467,3.26128,6.61515e-007,1,24.1848,106.26,4.39369,0.0446574,94.3938,4.34903,119.807,3.90302,95,126.093,0.356591,15,26.3889,4.49305,11322.3,1185.67,0.0929958
2.175,4.28638,3.27981,32.7981,105.635,-8.56269,2.72927,3.27871,1.28608e-007,1,24.2366,107.3,4.4272,0.105292,101.418,4.32191,121.773,4.1845,95,126.011,0.356361,15,26.3889,4.50766,11359.1,1189.52,0.0991349
2.25,4.30941,3.28954,32.8954,106.91,-8.47325,2.72348,3.28844,10,0,24.415,107.954,4.42162,0.0770316,122.227,4.34459,123.163,5.00622,95,125.933,0.356139,15,26.3889,4.51679,11382.1,1191.93,0.117325
2.325,4.31686,3.29639,32.9639,107.745,-8.57827,2.75702,3.29529,10,0,24.3795,108.4,4.44633,0.0938567,119.709,4.35248,124.097,4.91024,95,125.868,0.355954,15,26.3889,4.523,11397.8,1193.57,0.115278
2.4,4.32025,3.3005,33.005,108.278,-8.55899,2.78563,3.2994,10,0,24.4397,108.688,4.44718,0.0913961,120.561,4.35578,124.688,4.93298,95,125.82,0.355819,15,26.3889,4.527,11407.8,1194.63,0.115733
2.475,4.33657,3.30386,33.0386,108.616,-8.49965,2.71381,3.30274,10,0,24.5313,108.873,4.43814,0.0662786,124.466,4.37186,125.052,5.07375,95,125.787,0.355726,15,26.3889,4.52958,11414.3,1195.31,0.118916
2.55,4.30294,3.30718,33.0718,108.833,-8.65511,2.75178,3.3061,10,0,24.4203,109.006,4.46376,0.124908,97.2106,4.33885,125.276,3.98073,95,125.762,0.355657,15,26.3889,4.53142,11419,1195.79,0.0948148
2.625,4.33155,3.30726,33.0726,108.975,-8.70404,2.77308,3.30615,10,0,24.3654,109.091,4.4773,0.109614,113.014,4.36768,125.42,4.63832,95,125.746,0.355611,15,26.3889,4.5326,11421.9,1196.1,0.109139
2.7,4.33906,3.30785,33.0785,109.068,-8.57456,2.74237,3.30673,10,0,24.4968,109.137,4.45515,0.0804895,123.311,4.37466,125.516,5.03378,95,125.737,0.355586,15,26.3889,4.53323,11423.5,1196.27,0.11778
2.775,4.3353,3.30893,33.0893,109.129,-8.68793,2.74227,3.30782,10,0,24.4046,109.178,4.47366,0.102303,98.8154,4.37135,125.579,4.04906,95,125.729,0.355563,15,26.3889,4.5338,11425,1196.42,0.0961791
2.85,4.33514,3.30882,33.0882,109.17,-8.69071,2.77963,3.30771,10,0,24.3928,109.201,4.47676,0.105533,116.939,4.37122,125.621,4.79402,95,125.725,0.35555,15,26.3889,4.53411,11425.8,1196.5,0.11255
2.925,4.34386,3.30909,33.0909,109.196,-8.53476,2.71231,3.30798,9.99999,0,24.5651,109.206,4.44557,0.066285,94.2223,4.37929,125.651,3.83562,95,125.724,0.355547,15,26.3889,4.53419,11426,1196.52,0.0786713
3,4.33433,3.30946,33.0946,109.213,-8.73177,2.76472,3.30835,9.99999,0,24.362,109.226,4.48345,0.112881,107.921,4.37057,125.669,4.4299,95,125.72,0.355536,15,26.3889,4.53446,11426.6,1196.6,0.104592
3.075,4.33359,3.30874,33.0874,109.224,-8.60123,2.79381,3.30763,9.99999,0,24.4798,109.225,4.46184,0.0925352,121.103,4.3693,125.68,4.94706,95,125.72,0.355537,15,26.3889,4.53445,11426.6,1196.59,0.115733
3.15,4.33884,3.30969,33.0969,109.231,-8.68073,2.73923,3.30857,9.99999,0,24.4201,109.232,4.47306,0.0982012,97.2156,4.37486,125.688,3.98097,95,125.718,0.355532,15,26.3889,4.53456,11426.9,1196.62,0.0948148
3.225,4.3351,3.30947,33.0947,109.236,-8.6973,2.77942,3.30836,9.99999,0,24.393,109.237,4.47822,0.107023,116.2,4.3712,125.693,4.76366,95,125.717,0.355529,15,26.3889,4.53463,11427.1,1196.64,0.111868
3.3,4.34259,3.30963,33.0963,109.239,-8.55093,2.71203,3.30852,9.99999,0,24.5538,109.232,4.44868,0.0705963,87.071,4.37808,125.694,3.54613,95,125.719,0.355532,15,26.3889,4.53455,11426.9,1196.62,0.0850378
3.375,4.33584,3.30977,33.0977,109.241,-8.72648,2.76613,3.30866,9.99999,0,24.3703,109.243,4.48261,0.110546,107.971,4.37206,125.693,4.43043,95,125.716,0.355526,15,26.3889,4.5347,11427.2,1196.66,0.104592
3.45,4.34841,3.30893,33.0893,109.242,-8.61518,2.74663,3.30781,9.99999,0,24.4672,109.236,4.46457,0.0803855,122.779,4.38418,125.692,5.01809,95,125.718,0.35553,15,26.3889,4.5346,11427,1196.63,0.117552
3.525,4.30931,3.31064,33.1064,109.243,-8.68188,2.75975,3.30956,9.99999,0,24.4277,109.238,4.47191,0.126575,98.274,4.34534,125.696,4.02306,95,125.717,0.355529,15,26.3889,4.53464,11427.1,1196.64,0.0957243
3.6,4.33618,3.30955,33.0955,109.244,-8.68633,2.77369,3.30844,9.99999,0,24.4044,109.241,4.4763,0.104064,117.138,4.37224,125.701,4.79987,95,125.717,0.355527,15,26.3889,4.53468,11427.2,1196.65,0.112777
3.675,4.3432,3.30967,33.0967,109.244,-8.56597,2.71343,3.30855,9.99999,0,24.5388,109.237,4.4516,0.0728684,88.3268,4.37873,125.699,3.59948,95,125.718,0.35553,15,26.3889,4.53462,11427,1196.64,0.0861746
3.75,4.31357,3.31,33.1,109.244,-8.70751,2.80186,3.30891,9.99999,0,24.3911,109.242,4.47877,0.129062,108.787,4.34971,125.695,4.46013,95,125.717,0.355527,15,26.3889,4.53469,11427.2,1196.65,0.105274
3.825,4.33997,3.30926,33.0926,109.245,-8.58404,2.74658,3.30815,9.99999,0,24.5013,109.234,4.4583,0.082688,123.652,4.37561,125.696,5.04677,95,125.718,0.355531,15,26.3889,4.53458,11426.9,1196.63,0.118007
3.9,4.33714,3.30983,33.0983,109.245,-8.70256,2.74938,3.30872,9.99999,0,24.3983,109.242,4.47746,0.104206,100.125,4.37325,125.701,4.10376,95,125.716,0.355527,15,26.3889,4.53469,11427.2,1196.66,0.0975433
