Time,Icc,Pm,Vwind,D,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.001,-3.59535e-006,0,75.6,0.00018,0,23.9957,1.02177,0.00573375,15,21,0,0,0,0
0.002,-3.5989e-006,0.452545,75.6,0.00036,-6.75216e-009,23.9914,19.5184,0.109529,15,21,2.70791,5430.31,568.661,0.000795808
0.003,-3.58824e-006,1.42306,75.6,0.00054,-2.6882e-008,23.987,19.546,0.109684,15,21,2.70938,5433.26,568.97,0.00250111
0.004,-3.59179e-006,1.4894,75.6,0.00072,-6.01505e-008,23.9827,19.6028,0.110003,15,21,2.7124,5439.32,569.604,0.0026148
0.005,-3.58469e-006,1.49106,75.6,0.0009,-1.06334e-007,23.9784,19.6598,0.110323,15,21,2.71543,5445.39,570.24,0.0026148
0.006,-3.58469e-006,1.49273,75.6,0.00108,-1.65192e-007,23.9741,19.717,0.110644,15,21,2.71846,5451.47,570.876,0.0026148
0.007,-3.59535e-006,1.49439,75.6,0.00126,-2.36478e-007,23.9698,19.7745,0.110966,15,21,2.72149,5457.56,571.514,0.0026148
0.008,-3.58824e-006,1.49606,75.6,0.00144,-3.19967e-007,23.9654,19.8323,0.11129,15,21,2.72453,5463.66,572.153,0.0026148
0.009,-3.58114e-006,1.49774,75.6,0.00162,-4.15426e-007,23.9611,19.8902,0.111616,15,21,2.72758,5469.77,572.793,0.0026148
0.01,-3.58824e-006,1.49941,75.6,0.0018,-5.22628e-007,23.9568,19.9485,0.111942,15,21,2.73064,5475.89,573.434,0.0026148
0.011,-3.58469e-006,1.50109,75.6,0.00198,-6.41349e-007,23.9525,20.0069,0.11227,15,21,2.73369,5482.02,574.076,0.0026148
0.012,-3.58824e-006,1.50278,75.6,0.00216,-7.71347e-007,23.9482,20.0656,0.1126,15,21,2.73676,5488.17,574.72,0.0026148
0.013,-3.58469e-006,1.50446,75.6,0.00234,-9.12396e-007,23.9438,20.1246,0.112931,15,21,2.73983,5494.32,575.364,0.0026148
0.014,-3.58824e-006,1.57163,75.6,0.00252,-1.06428e-006,23.9395,20.1838,0.113263,15,21,2.7429,5500.49,576.01,0.00272848
0.015,-3.58824e-006,1.50784,75.6,0.0027,-1.22679e-006,23.9352,20.2433,0.113597,15,21,2.74598,5506.67,576.657,0.0026148
0.016,-3.58469e-006,1.50954,75.6,0.00288,-1.39971e-006,23.9309,20.303,0.113932,15,21,2.74907,5512.86,577.305,0.0026148
0.017,-3.58114e-006,1.51123,75.6,0.00306,-1.58282e-006,23.9266,20.363,0.114268,15,21,2.75216,5519.06,577.955,0.0026148
0.018,-3.59179e-006,1.51294,75.6,0.00324,-1.77592e-006,23.9222,20.4232,0.114606,15,21,2.75526,5525.28,578.605,0.0026148
0.019,-3.58114e-006,1.51464,75.6,0.00342,-1.97879e-006,23.9179,20.4837,0.114946,15,21,2.75837,5531.5,579.257,0.0026148
0.02,-3.58824e-006,1.58228,75.6,0.0036,-2.19125e-006,23.9136,20.5444,0.115287,15,21,2.76148,5537.74,579.91,0.00272848
0.021,-3.58824e-006,1.51806,75.6,0.00378,-2.41309e-006,23.9093,20.6054,0.115629,15,21,2.76459,5543.98,580.565,0.0026148
0.022,-3.58114e-006,1.51977,75.6,0.00396,-2.64409e-006,23.905,20.6667,0.115973,15,21,2.76771,5550.24,581.22,0.0026148
0.023,-3.57758e-006,1.58764,75.6,0.00414,-2.88403e-006,23.9006,20.7282,0.116318,15,21,2.77084,5556.51,581.877,0.00272848
