Time,Vo,Pe,S2.Pm,S2.Cp,S2.pitch,S2.v_ms,S2.lambda,S2.RPM,S2.rad_s,S2.torque
0.0001,0.0008,0,0.661592,0.00589545,15,18,0,0,0,0
0.0002,0.0016,1.24243e-010,1.22085,0.010879,15,18,0.526515,905.012,94.7726,0.00446221
0.0003,0.0024,8.1296e-010,1.22093,0.0108797,15,18,0.526572,905.111,94.783,0.00848388
0.0004,0.0032,2.83821e-009,1.22098,0.0108801,15,18,0.526606,905.169,94.789,0.0112266
0.0005,0.004,7.19197e-009,1.22099,0.0108802,15,18,0.526613,905.18,94.7903,0.0133014
0.0006,0.0048,1.49905e-008,1.22097,0.0108801,15,18,0.526599,905.158,94.7879,0.0148646
0.0007,0.0056,2.74156e-008,1.22093,0.0108797,15,18,0.526571,905.109,94.7827,0.0160298
0.0008,0.0064,4.56756e-008,1.22087,0.0108792,15,18,0.526531,905.04,94.7756,0.0168967
0.0009,0.0072,7.09803e-008,1.22081,0.0108786,15,18,0.526483,904.957,94.7669,0.0175362
0.001,0.008,1.04526e-007,1.22073,0.0108779,15,18,0.526429,904.864,94.7571,0.0180052
0.0011,0.0088,1.47485e-007,1.22065,0.0108772,15,18,0.52637,904.763,94.7466,0.018332
0.0012,0.0096,2.01004e-007,1.22056,0.0108764,15,18,0.526308,904.657,94.7355,0.0185452
0.0013,0.0104,2.66196e-007,1.22047,0.0108756,15,18,0.526244,904.547,94.724,0.0186873
0.0014,0.0112,3.44149e-007,1.22038,0.0108748,15,18,0.526179,904.436,94.7123,0.0187867
0.0015,0.012,4.35918e-007,1.22029,0.010874,15,18,0.526114,904.323,94.7004,0.0188294
0.0016,0.0128,5.4253e-007,1.22019,0.0108731,15,18,0.526048,904.209,94.6886,0.0188294
0.0017,0.0136,6.64988e-007,1.2201,0.0108723,15,18,0.525982,904.096,94.6767,0.0188152
0.0018,0.0144,8.04267e-007,1.22001,0.0108715,15,18,0.525916,903.983,94.6649,0.0187583
0.0019,0.0152,9.61323e-007,1.21992,0.0108707,15,18,0.525851,903.871,94.6532,0.0187157
0.002,0.016,1.13709e-006,1.21983,0.0108699,15,18,0.525787,903.761,94.6416,0.0186446
0.0021,0.0168,1.33247e-006,1.21974,0.0108691,15,18,0.525723,903.651,94.6302,0.0185736
0.0022,0.0176,1.54836e-006,1.21965,0.0108683,15,18,0.52566,903.544,94.6189,0.0184883
0.0023,0.0184,1.78565e-006,1.21956,0.0108675,15,18,0.525599,903.438,94.6078,0.0183888
0.0024,0.0192,2.04517e-006,1.21948,0.0108668,15,18,0.525538,903.334,94.5969,0.0183036
0.0025,0.02,2.32779e-006,1.21939,0.010866,15,18,0.525479,903.231,94.5861,0.0182041
0.0026,0.0208,2.63431e-006,1.21931,0.0108653,15,18,0.52542,903.131,94.5756,0.0181046
0.0027,0.0216,2.96556e-006,1.21923,0.0108646,15,18,0.525363,903.032,94.5653,0.0180052
0.0028,0.0224,3.32234e-006,1.21915,0.0108639,15,18,0.525306,902.935,94.5551,0.0179199
0.0029,0.0232,3.70541e-006,1.21907,0.0108632,15,18,0.525251,902.84,94.5452,0.0178062
0.003,0.024,4.11556e-006,1.219,0.0108625,15,18,0.525197,902.747,94.5354,0.0177209
0.0031,0.0248,4.55354e-006,1.21892,0.0108618,15,18,0.525144,902.656,94.5259,0.0176215
0.0032,0.0256,5.02009e-006,1.21885,0.0108612,15,18,0.525092,902.567,94.5166,0.0175078
0.0033,0.0264,5.51594e-006,1.21878,0.0108605,15,18,0.525041,902.479,94.5074,0.0174083
0.0034,0.0272,6.0418e-006,1.21871,0.0108599,15,18,0.524992,902.394,94.4985,0.0173088
0.0035,0.028,6.5984e-006,1.21864,0.0108593,15,18,0.524943,902.311,94.4897,0.0172093
0.0036,0.0288,7.18641e-006,1.21857,0.0108587,15,18,0.524896,902.229,94.4812,0.0171099
0.0037,0.0296,7.80651e-006,1.21851,0.0108581,15,18,0.524849,902.15,94.4729,0.0170104
0.0038,0.0304,8.45939e-006,1.21844,0.0108576,15,18,0.524804,902.072,94.4647,0.0169251
0.0039,0.0312,9.14569e-006,1.21838,0.010857,15,18,0.52476,901.996,94.4568,0.0168257
0.004,0.032,9.86605e-006,1.21832,0.0108565,15,18,0.524717,901.922,94.4491,0.0167262
0.0041,0.0328,1.06211e-005,1.21826,0.0108559,15,18,0.524675,901.85,94.4415,0.0166267
0.0042,0.0336,1.14115e-005,1.21821,0.0108554,15,18,0.524634,901.78,94.4342,0.0165272
0.0043,0.0344,1.22378e-005,1.21815,0.0108549,15,18,0.524594,901.711,94.427,0.0164277
0.0044,0.0352,1.31007e-005,1.2181,0.0108545,15,18,0.524556,901.645,94.42,0.0163283
0.0045,0.036,1.40007e-005,1.21804,0.010854,15,18,0.524518,901.58,94.4133,0.016243
0.0046,0.0368,1.49384e-005,1.21799,0.0108535,15,18,0.524482,901.517,94.4067,0.0161435
0.0047,0.0376,1.59144e-005,1.21794,0.0108531,15,18,0.524446,901.456,94.4003,0.0160441
0.0048,0.0384,1.69292e-005,1.21789,0.0108527,15,18,0.524412,901.397,94.3941,0.0159588
0.0049,0.0392,1.79833e-005,1.21785,0.0108522,15,18,0.524378,901.34,94.3881,0.0158593
0.005,0.04,1.90774e-005,1.2178,0.0108518,15,18,0.524346,901.284,94.3823,0.0157598
0.0051,0.0408,2.02119e-005,1.21776,0.0108514,15,18,0.524315,901.231,94.3766,0.0156746
0.0052,0.0416,2.13874e-005,1.21771,0.0108511,15,18,0.524284,901.179,94.3712,0.0155751
0.0053,0.0424,2.26042e-005,1.21767,0.0108507,15,18,0.524255,901.128,94.3659,0.0154898
0.0054,0.0432,2.38631e-005,1.21763,0.0108503,15,18,0.524227,901.08,94.3609,0.0153904
0.0055,0.044,2.51643e-005,1.2176,0.01085,15,18,0.5242,901.033,94.356,0.0153051
0.0056,0.0448,2.65085e-005,1.21756,0.0108497,15,18,0.524174,900.988,94.3513,0.0152198
0.0057,0.0456,2.7896e-005,1.21752,0.0108494,15,18,0.524149,900.945,94.3467,0.0151203
0.0058,0.0464,2.93218e-005,1.21752,0.0108493,15,18,0.524144,900.938,94.346,0.0117097
0.0059,0.0472,3.07822e-005,1.21753,0.0108494,15,18,0.524152,900.951,94.3474,0.0123634
0.006,0.048,3.22796e-005,1.21753,0.0108494,15,18,0.524155,900.957,94.348,0.0128892
0.0061,0.0488,3.38162e-005,1.21753,0.0108494,15,18,0.524153,900.953,94.3476,0.0132871
0.0062,0.0496,3.53939e-005,1.21752,0.0108493,15,18,0.524148,900.944,94.3466,0.0135572
0.0063,0.0504,3.70141e-005,1.21751,0.0108492,15,18,0.524139,900.929,94.3451,0.0137419
